Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
[307/3763] Processing: splinterdb/allocation_layer__LikesJournalRefinement_v.1.smt2 -> UNSAT
[308/3763] Processing: splinterdb/betree__LinkedBetree_v.91.smt2 -> UNSAT
[309/3763] Processing: splinterdb/betree__PivotBetreeRefinement_v.4.smt2 -> UNKNOWN
[310/3763] Processing: splinterdb/betree__FilteredBetree_v.25.smt2 -> UNSAT
[311/3763] Processing: splinterdb/betree__PagedBetreeRefinement_v.16.smt2 -> UNKNOWN
[312/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.20.smt2 -> UNSAT
[313/3763] Processing: splinterdb/journal__PagedJournalRefinement_v.17.smt2 -> UNKNOWN
[314/3763] Processing: splinterdb/betree__LinkedBetree_v.29.smt2 -> UNKNOWN
[315/3763] Processing: splinterdb/betree__PivotBetree_v.22.smt2 -> UNSAT
[316/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.29.smt2 -> UNKNOWN
[317/3763] Processing: splinterdb/betree__Buffer_v.4.smt2 -> UNSAT
[318/3763] Processing: splinterdb/betree__LinkedBranch_v.64.smt2 -> UNKNOWN
[319/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.14.smt2 -> OTHER
[320/3763] Processing: splinterdb/betree__BufferDisk_v.7.smt2 -> UNKNOWN
[321/3763] Processing: splinterdb/betree__Domain_v.2.smt2 -> UNSAT
[322/3763] Processing: splinterdb/betree__PivotBetreeRefinement_v.11.smt2 -> UNSAT
[323/3763] Processing: splinterdb/journal__LinkedJournalRefinement_v.6.smt2 -> TIMEOUT
[324/3763] Processing: splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.25.smt2 -> UNKNOWN
[325/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.18.smt2 -> UNKNOWN
[326/3763] Processing: splinterdb/exec__MiniAllocator_v.2.smt2 -> UNSAT
[327/3763] Processing: splinterdb/betree__PivotBetree_v.34.smt2 -> UNKNOWN
[328/3763] Processing: splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.6.smt2 -> UNSAT
[329/3763] Processing: splinterdb/abstract_system__MsgHistory_v.13.smt2 -> UNSAT
[330/3763] Processing: splinterdb/journal__LinkedJournal_v.8.smt2 -> UNSAT
[331/3763] Processing: splinterdb/betree__LinkedBranch_v.4.smt2 -> UNSAT
[332/3763] Processing: splinterdb/allocation_layer__MiniAllocator_v.8.smt2 -> UNSAT
[333/3763] Processing: splinterdb/betree__LinkedBranch_v__Refinement_v.38.smt2 -> OTHER
[334/3763] Processing: splinterdb/allocation_layer__AllocationCrashAwareJournal_v__AllocationCrashAwareJournal.7.smt2 -> UNKNOWN
[335/3763] Processing: splinterdb/allocation_layer__LikesJournal_v.26.smt2 -> UNKNOWN
[336/3763] Processing: splinterdb/betree__Buffer_v.12.smt2 -> UNSAT
[337/3763] Processing: splinterdb/betree__LinkedBetree_v.68.smt2 -> UNSAT
[338/3763] Processing: splinterdb/journal__PagedJournal_v.11.smt2 -> UNSAT
[339/3763] Processing: splinterdb/betree__LinkedBranch_v.25.smt2 -> UNKNOWN
[340/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.36.smt2 -> OTHER
[341/3763] Processing: splinterdb/betree__FilteredBetree_v.33.smt2 -> UNKNOWN
[342/3763] Processing: splinterdb/betree__LinkedBetree_v.87.smt2 -> UNSAT
[343/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.2.smt2 -> UNKNOWN
[344/3763] Processing: splinterdb/betree__LinkedBetree_v.101.smt2 -> OTHER
[345/3763] Processing: splinterdb/journal__LinkedJournal_v.40.smt2 -> OTHER
[346/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.34.smt2 -> UNSAT
[347/3763] Processing: splinterdb/betree__BufferSeq_v.9.smt2 -> UNKNOWN
[348/3763] Processing: splinterdb/allocation_layer__LikesBetree_v.10.smt2 -> OTHER
[349/3763] Processing: splinterdb/disk__GenericDisk_v.10.smt2 -> UNSAT
[350/3763] Processing: splinterdb/betree__PagedBetree_v.25.smt2 -> UNSAT
[351/3763] Processing: splinterdb/betree__LinkedBetree_v.13.smt2 -> UNSAT
[352/3763] Processing: splinterdb/betree__PivotBetree_v.18.smt2 -> UNSAT
[353/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.13.smt2 -> UNSAT
[354/3763] Processing: splinterdb/journal__PagedJournal_v.7.smt2 -> UNSAT
[355/3763] Processing: splinterdb/journal__LinkedJournal_v.17.smt2 -> UNKNOWN
[356/3763] Processing: splinterdb/betree__LinkedBranch_v__Refinement_v.14.smt2 -> UNKNOWN
[357/3763] Processing: splinterdb/betree__PivotTable_v.3.smt2 -> UNKNOWN
[358/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.4.smt2 -> UNSAT
[359/3763] Processing: splinterdb/betree__PagedBetree_v.6.smt2 -> UNSAT
[360/3763] Processing: splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.5.smt2 -> UNSAT
[361/3763] Processing: splinterdb/betree__LinkedBetree_v.44.smt2 -> UNKNOWN
[362/3763] Processing: splinterdb/allocation_layer__AllocationCrashAwareJournalRefinement_v.2.smt2 -> UNKNOWN
[363/3763] Processing: splinterdb/abstract_system__MsgHistory_v.29.smt2 -> UNKNOWN
[364/3763] Processing: splinterdb/betree__PivotBetree_v.9.smt2 -> UNKNOWN
[365/3763] Processing: splinterdb/betree__BufferOffsets_v.7.smt2 -> UNSAT
[366/3763] Processing: splinterdb/betree__LinkedBetree_v.52.smt2 -> UNSAT
[367/3763] Processing: splinterdb/betree__PivotBranch_v.14.smt2 -> UNSAT
[368/3763] Processing: splinterdb/betree__PivotBranchRefinement_v.16.smt2 -> OTHER
[369/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.22.smt2 -> UNSAT
[370/3763] Processing: splinterdb/abstract_system__StampedMap_v.3.smt2 -> UNSAT
[371/3763] Processing: splinterdb/betree__PagedBetree_v.33.smt2 -> UNKNOWN
[372/3763] Processing: splinterdb/abstract_system__MsgHistory_v.5.smt2 -> UNSAT
[373/3763] Processing: splinterdb/journal__LinkedJournal_v__LinkedJournal.12.smt2 -> UNSAT
[374/3763] Processing: splinterdb/journal__LinkedJournal_v__LinkedJournal.6.smt2 -> UNSAT
[375/3763] Processing: splinterdb/betree__LinkedBranch_v.48.smt2 -> UNSAT
[376/3763] Processing: splinterdb/allocation_layer__LikesJournal_v.5.smt2 -> UNSAT
[377/3763] Processing: splinterdb/betree__LinkedSeq_v.2.smt2 -> UNSAT
[378/3763] Processing: splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.14.smt2 -> UNSAT
[379/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.29.smt2 -> UNKNOWN
[380/3763] Processing: splinterdb/allocation_layer__LikesJournal_v__LikesJournal.11.smt2 -> UNKNOWN
[381/3763] Processing: splinterdb/allocation_layer__AllocationJournalRefinement_v.5.smt2 -> OTHER
[382/3763] Processing: splinterdb/journal__PagedJournalRefinement_v.5.smt2 -> UNSAT
[383/3763] Processing: splinterdb/betree__LinkedBranch_v.43.smt2 -> UNSAT
[384/3763] Processing: splinterdb/allocation_layer__AllocationCrashAwareJournalRefinement_v.9.smt2 -> UNKNOWN
[385/3763] Processing: splinterdb/allocation_layer__LikesJournal_v.17.smt2 -> UNSAT
[386/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.1.smt2 -> UNSAT
[387/3763] Processing: splinterdb/abstract_system__MsgHistory_v.22.smt2 -> UNKNOWN
[388/3763] Processing: splinterdb/betree__PivotBetree_v.2.smt2 -> UNSAT
[389/3763] Processing: splinterdb/betree__PagedBetreeRefinement_v.31.smt2 -> UNKNOWN
[390/3763] Processing: splinterdb/betree__LinkedBetree_v.59.smt2 -> UNKNOWN
[391/3763] Processing: splinterdb/betree__LinkedBranch_v.14.smt2 -> UNKNOWN
[392/3763] Processing: splinterdb/journal__PagedJournal_v.20.smt2 -> UNSAT
[393/3763] Processing: splinterdb/journal__LinkedJournalRefinement_v.20.smt2 -> UNKNOWN
[394/3763] Processing: splinterdb/betree__PivotBranch_v.1.smt2 -> UNSAT
[395/3763] Processing: splinterdb/betree__BufferSeq_v.21.smt2 -> UNKNOWN
[396/3763] Processing: splinterdb/betree__PivotTable_v.8.smt2 -> UNKNOWN
[397/3763] Processing: splinterdb/betree__FilteredBetree_v.14.smt2 -> UNKNOWN
[398/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.11.smt2 -> UNKNOWN
[399/3763] Processing: splinterdb/betree__PagedBetreeRefinement_v.27.smt2 -> OTHER
[400/3763] Processing: splinterdb/betree__BufferSeq_v.2.smt2 -> UNKNOWN
[401/3763] Processing: splinterdb/journal__PagedJournalRefinement_v.26.smt2 -> OTHER
[402/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.5.smt2 -> UNKNOWN
[403/3763] Processing: splinterdb/marshalling__SeqMarshalling_v.3.smt2 -> UNSAT
[404/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.46.smt2 -> OTHER
[405/3763] Processing: splinterdb/spec__AppIO_t.5.smt2 -> UNSAT
[406/3763] Processing: splinterdb/betree__PivotBetreeRefinement_v.20.smt2 -> OTHER
[407/3763] Processing: splinterdb/betree__FilteredBetree_v.43.smt2 -> UNSAT
[408/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.18.smt2 -> OTHER
[409/3763] Processing: splinterdb/betree__LinkedBetree_v.18.smt2 -> UNSAT
[410/3763] Processing: splinterdb/betree__PivotBetree_v.13.smt2 -> UNKNOWN
[411/3763] Processing: splinterdb/betree__LinkedBranch_v.55.smt2 -> UNKNOWN
[412/3763] Processing: splinterdb/journal__LinkedJournal_v.3.smt2 -> UNSAT
[413/3763] Processing: splinterdb/abstract_system__MsgHistory_v.18.smt2 -> UNSAT
[414/3763] Processing: splinterdb/allocation_layer__MiniAllocator_v.3.smt2 -> UNSAT
[415/3763] Processing: splinterdb/journal__LinkedJournal_v.30.smt2 -> UNKNOWN
[416/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.44.smt2 -> UNSAT
[417/3763] Processing: splinterdb/betree__LinkedBranch_v__Refinement_v.33.smt2 -> OTHER
[418/3763] Processing: splinterdb/betree__LinkedBetree_v.63.smt2 -> OTHER
[419/3763] Processing: splinterdb/betree__PivotBranch_v.25.smt2 -> UNKNOWN
[420/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.9.smt2 -> UNSAT
[421/3763] Processing: splinterdb/allocation_layer__LikesBetree_v.6.smt2 -> UNKNOWN
[422/3763] Processing: splinterdb/betree__FilteredBetree_v.38.smt2 -> UNKNOWN
[423/3763] Processing: splinterdb/betree__LinkedBetree_v__LinkedBetreeVars.2.smt2 -> OTHER
[424/3763] Processing: splinterdb/exec__MiniAllocator_v.9.smt2 -> UNSAT
[425/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.13.smt2 -> UNKNOWN
[426/3763] Processing: splinterdb/allocation_layer__UnifiedCrashAwareJournalRefinement_v.1.smt2 -> UNSAT
[427/3763] Processing: splinterdb/allocation_layer__LikesBetree_v__LikesBetree.2.smt2 -> OTHER
[428/3763] Processing: splinterdb/betree__LinkedBetree_v.34.smt2 -> UNSAT
[429/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.34.smt2 -> TIMEOUT
[430/3763] Processing: splinterdb/betree__LinkedBranch_v__Refinement_v.7.smt2 -> UNSAT
[431/3763] Processing: splinterdb/betree__PagedBetree_v.14.smt2 -> UNSAT
[432/3763] Processing: splinterdb/betree__FilteredBetree_v.6.smt2 -> UNSAT
[433/3763] Processing: splinterdb/betree__PivotBranchRefinement_v.4.smt2 -> UNSAT
[434/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.22.smt2 -> UNKNOWN
[435/3763] Processing: splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.12.smt2 -> UNSAT
[436/3763] Processing: splinterdb/betree__LinkedBetree_v.22.smt2 -> UNKNOWN
[437/3763] Processing: splinterdb/betree__PivotBetree_v.29.smt2 -> UNSAT
[438/3763] Processing: splinterdb/allocation_layer__LikesJournal_v__LikesJournal.7.smt2 -> OTHER
[439/3763] Processing: splinterdb/allocation_layer__MiniAllocator_v.17.smt2 -> UNSAT
[440/3763] Processing: splinterdb/betree__PivotTable_v.10.smt2 -> UNSAT
[441/3763] Processing: splinterdb/betree__LinkedBranch_v__Refinement_v.25.smt2 -> OTHER
[442/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.52.smt2 -> UNSAT
[443/3763] Processing: splinterdb/journal__LinkedJournal_v.26.smt2 -> UNSAT
[444/3763] Processing: splinterdb/betree__LinkedBranch_v.38.smt2 -> UNKNOWN
[445/3763] Processing: splinterdb/betree__LinkedBetree_v.75.smt2 -> UNKNOWN
[446/3763] Processing: splinterdb/exec__Cache_v__Cache.7.smt2 -> UNKNOWN
[447/3763] Processing: splinterdb/journal__LinkedJournal_v__LinkedJournal.1.smt2 -> UNSAT
[448/3763] Processing: splinterdb/abstract_system__MsgHistory_v.2.smt2 -> UNSAT
[449/3763] Processing: splinterdb/betree__LinkedSeq_v.5.smt2 -> UNSAT
[450/3763] Processing: splinterdb/allocation_layer__LikesJournal_v.2.smt2 -> UNSAT
[451/3763] Processing: splinterdb/journal__LinkedJournal_v.51.smt2 -> OTHER
[452/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.25.smt2 -> UNKNOWN
[453/3763] Processing: splinterdb/betree__PivotBranchRefinement_v.11.smt2 -> UNKNOWN
[454/3763] Processing: splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.18.smt2 -> UNSAT
[455/3763] Processing: splinterdb/abstract_system__StampedMap_v.4.smt2 -> UNKNOWN
[456/3763] Processing: splinterdb/betree__LinkedBetree_v.110.smt2 -> OTHER
[457/3763] Processing: splinterdb/betree__Memtable_v.7.smt2 -> UNSAT
[458/3763] Processing: splinterdb/betree__PagedBetree_v.34.smt2 -> UNSAT
[459/3763] Processing: splinterdb/journal__PagedJournalRefinement_v.9.smt2 -> OTHER
[460/3763] Processing: splinterdb/betree__PivotBranch_v.13.smt2 -> UNKNOWN
[461/3763] Processing: splinterdb/betree__LinkedBranch_v.18.smt2 -> UNSAT
[462/3763] Processing: splinterdb/betree__LinkedBetree_v.55.smt2 -> UNSAT
[463/3763] Processing: splinterdb/allocation_layer__AllocationCrashAwareJournalRefinement_v.5.smt2 -> UNKNOWN
[464/3763] Processing: splinterdb/betree__FilteredBetree_v.18.smt2 -> UNSAT
[465/3763] Processing: splinterdb/betree__LinkedBetree_v.43.smt2 -> UNSAT
[466/3763] Processing: splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.2.smt2 -> UNKNOWN
[467/3763] Processing: splinterdb/betree__PagedBetree_v.1.smt2 -> UNKNOWN
[468/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.3.smt2 -> UNSAT
[469/3763] Processing: splinterdb/journal__LinkedJournal_v.10.smt2 -> UNSAT
[470/3763] Processing: splinterdb/betree__LinkedBranch_v__Refinement_v.13.smt2 -> OTHER
[471/3763] Processing: splinterdb/disk__GenericDisk_v.7.smt2 -> UNSAT
[472/3763] Processing: splinterdb/betree__PivotTable_v.4.smt2 -> UNSAT
[473/3763] Processing: splinterdb/allocation_layer__MiniAllocator_v.21.smt2 -> UNSAT
[474/3763] Processing: splinterdb/betree__LinkedBranch_v.59.smt2 -> UNKNOWN
[475/3763] Processing: splinterdb/betree__LinkedBetree_v.14.smt2 -> UNKNOWN
[476/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.14.smt2 -> UNSAT
[477/3763] Processing: splinterdb/allocation_layer__LikesBetree_v.17.smt2 -> UNKNOWN
[478/3763] Processing: splinterdb/betree__LinkedBetree_v.106.smt2 -> OTHER
[479/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.33.smt2 -> UNKNOWN
[480/3763] Processing: splinterdb/journal__LinkedJournal_v.47.smt2 -> OTHER
[481/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.9.smt2 -> UNSAT
[482/3763] Processing: splinterdb/betree__PagedBetree_v.22.smt2 -> UNKNOWN
[483/3763] Processing: splinterdb/betree__PagedBetree_v__PagedBetree.smt2 -> UNSAT
[484/3763] Processing: splinterdb/journal__PagedJournal_v.16.smt2 -> UNSAT
[485/3763] Processing: splinterdb/betree__PivotBranch_v.29.smt2 -> UNSAT
[486/3763] Processing: splinterdb/betree__LinkedBranch_v.22.smt2 -> UNKNOWN
[487/3763] Processing: splinterdb/betree__FilteredBetree_v.34.smt2 -> UNKNOWN
[488/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.5.smt2 -> UNKNOWN
[489/3763] Processing: splinterdb/betree__LinkedBetree_v.80.smt2 -> UNKNOWN
[490/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.31.smt2 -> OTHER
[491/3763] Processing: splinterdb/abstract_system__MsgHistory_v.14.smt2 -> UNKNOWN
[492/3763] Processing: splinterdb/betree__LinkedBranch_v.3.smt2 -> UNSAT
[493/3763] Processing: splinterdb/allocation_layer__LikesJournal_v.21.smt2 -> UNKNOWN
[494/3763] Processing: splinterdb/betree__Buffer_v.15.smt2 -> UNSAT
[495/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.48.smt2 -> UNKNOWN
[496/3763] Processing: splinterdb/betree__LinkedBetree_v.38.smt2 -> UNSAT
[497/3763] Processing: splinterdb/betree__PivotBetree_v.33.smt2 -> UNSAT
[498/3763] Processing: splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.1.smt2 -> UNSAT
[499/3763] Processing: splinterdb/journal__LinkedJournalRefinement_v.1.smt2 -> UNSAT
[500/3763] Processing: splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.22.smt2 -> UNKNOWN
[501/3763] Processing: splinterdb/exec__MiniAllocator_v.5.smt2 -> UNKNOWN
[502/3763] Processing: splinterdb/betree__Buffer_v.3.smt2 -> UNSAT
[503/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.13.smt2 -> OTHER
[504/3763] Processing: splinterdb/betree__LinkedBranch_v.63.smt2 -> UNKNOWN
[505/3763] Processing: splinterdb/betree__PivotBetree_v.25.smt2 -> UNSAT
[506/3763] Processing: splinterdb/betree__PivotBetreeRefinement_v.16.smt2 -> UNSAT
[507/3763] Processing: splinterdb/betree__Domain_v.5.smt2 -> UNSAT
[508/3763] Processing: splinterdb/betree__PivotBranchRefinement_v.8.smt2 -> OTHER
[509/3763] Processing: splinterdb/betree__OffsetMap_v.2.smt2 -> UNSAT
[510/3763] Processing: splinterdb/betree__PagedBetree_v.18.smt2 -> UNSAT
[511/3763] Processing: splinterdb/journal__PagedJournalRefinement_v.10.smt2 -> UNKNOWN
[512/3763] Processing: splinterdb/betree__LinkedBetree_v.79.smt2 -> UNKNOWN
[513/3763] Processing: splinterdb/betree__LinkedBranch_v.34.smt2 -> UNKNOWN
[514/3763] Processing: splinterdb/allocation_layer__AllocationCrashAwareJournalRefinement_v.10.smt2 -> TIMEOUT
[515/3763] Processing: splinterdb/betree__PagedBetreeRefinement_v.11.smt2 -> UNKNOWN
[516/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.27.smt2 -> OTHER
[517/3763] Processing: splinterdb/betree__LinkedBetree_v.96.smt2 -> OTHER
[518/3763] Processing: splinterdb/betree__PagedBetreeRefinement_v.6.smt2 -> UNSAT
[519/3763] Processing: splinterdb/betree__PivotBetreeRefinement_v.3.smt2 -> UNSAT
[520/3763] Processing: splinterdb/betree__FilteredBetree_v.22.smt2 -> UNSAT
[521/3763] Processing: splinterdb/betree__BufferSeq_v.17.smt2 -> UNKNOWN
[522/3763] Processing: splinterdb/betree__LinkedBranch_v__Refinement_v.29.smt2 -> OTHER
[523/3763] Processing: splinterdb/journal__LinkedJournalRefinement_v.16.smt2 -> OTHER
[524/3763] Processing: splinterdb/betree__Utils_v.2.smt2 -> UNKNOWN
[525/3763] Processing: splinterdb/exec__Cache_v.2.smt2 -> UNSAT
[526/3763] Processing: splinterdb/betree__BufferSeq_v.16.smt2 -> UNKNOWN
[527/3763] Processing: splinterdb/betree__LinkedBranch_v__Refinement_v.28.smt2 -> OTHER
[528/3763] Processing: splinterdb/betree__LinkedBetree_v.1.smt2 -> UNSAT
[529/3763] Processing: splinterdb/journal__LinkedJournalRefinement_v.17.smt2 -> OTHER
[530/3763] Processing: splinterdb/betree__Utils_v.3.smt2 -> UNKNOWN
[531/3763] Processing: splinterdb/betree__LinkedBetree_v.78.smt2 -> UNSAT
[532/3763] Processing: splinterdb/betree__LinkedBranch_v.35.smt2 -> UNSAT
[533/3763] Processing: splinterdb/allocation_layer__AllocationCrashAwareJournalRefinement_v.11.smt2 -> UNKNOWN
[534/3763] Processing: splinterdb/betree__PagedBetreeRefinement_v.10.smt2 -> UNKNOWN
[535/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.26.smt2 -> UNSAT
[536/3763] Processing: splinterdb/betree__LinkedBetree_v.97.smt2 -> OTHER
[537/3763] Processing: splinterdb/betree__PagedBetreeRefinement_v.7.smt2 -> UNSAT
[538/3763] Processing: splinterdb/betree__PivotBetreeRefinement_v.2.smt2 -> UNKNOWN
[539/3763] Processing: splinterdb/betree__FilteredBetree_v.23.smt2 -> UNKNOWN
[540/3763] Processing: splinterdb/betree__PivotBranchRefinement_v.9.smt2 -> OTHER
[541/3763] Processing: splinterdb/betree__OffsetMap_v.3.smt2 -> UNSAT
[542/3763] Processing: splinterdb/betree__PagedBetree_v.19.smt2 -> UNSAT
[543/3763] Processing: splinterdb/journal__PagedJournalRefinement_v.11.smt2 -> UNKNOWN
[544/3763] Processing: splinterdb/betree__Buffer_v.2.smt2 -> UNSAT
[545/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.12.smt2 -> OTHER
[546/3763] Processing: splinterdb/betree__LinkedBranch_v.62.smt2 -> UNSAT
[547/3763] Processing: splinterdb/betree__PivotBetree_v.24.smt2 -> UNKNOWN
[548/3763] Processing: splinterdb/betree__PivotBetreeRefinement_v.17.smt2 -> UNKNOWN
[549/3763] Processing: splinterdb/betree__Domain_v.4.smt2 -> UNSAT
[550/3763] Processing: splinterdb/betree__BufferDisk_v.1.smt2 -> UNSAT
[551/3763] Processing: splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.23.smt2 -> UNSAT
[552/3763] Processing: splinterdb/exec__MiniAllocator_v.4.smt2 -> UNSAT
[553/3763] Processing: splinterdb/betree__LinkedBetree_v.39.smt2 -> UNKNOWN
[554/3763] Processing: splinterdb/betree__PivotBetree_v.32.smt2 -> UNSAT
[555/3763] Processing: splinterdb/abstract_system__MsgHistory_v.15.smt2 -> UNSAT
[556/3763] Processing: splinterdb/betree__LinkedBranch_v.2.smt2 -> UNSAT
[557/3763] Processing: splinterdb/allocation_layer__LikesJournal_v.20.smt2 -> OTHER
[558/3763] Processing: splinterdb/betree__Buffer_v.14.smt2 -> UNSAT
[559/3763] Processing: splinterdb/allocation_layer__AllocationCrashAwareJournal_v__AllocationCrashAwareJournal.1.smt2 -> UNSAT
[560/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.49.smt2 -> UNKNOWN
[561/3763] Processing: splinterdb/journal__PagedJournal_v.17.smt2 -> UNSAT
[562/3763] Processing: splinterdb/betree__PivotBranch_v.28.smt2 -> OTHER
[563/3763] Processing: splinterdb/betree__LinkedBranch_v.23.smt2 -> UNKNOWN
[564/3763] Processing: splinterdb/betree__FilteredBetree_v.35.smt2 -> UNSAT
[565/3763] Processing: splinterdb/allocation_layer__AllocationCrashAwareJournal_v.1.smt2 -> UNKNOWN
[566/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.4.smt2 -> UNSAT
[567/3763] Processing: splinterdb/betree__LinkedBetree_v.81.smt2 -> UNSAT
[568/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.30.smt2 -> OTHER
[569/3763] Processing: splinterdb/allocation_layer__LikesBetree_v.16.smt2 -> OTHER
[570/3763] Processing: splinterdb/betree__LinkedBetree_v.107.smt2 -> OTHER
[571/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.32.smt2 -> UNKNOWN
[572/3763] Processing: splinterdb/journal__LinkedJournal_v.46.smt2 -> TIMEOUT
[573/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.8.smt2 -> UNSAT
[574/3763] Processing: splinterdb/betree__PagedBetree_v.23.smt2 -> UNKNOWN
[575/3763] Processing: splinterdb/allocation_layer__MiniAllocator_v.20.smt2 -> UNSAT
[576/3763] Processing: splinterdb/betree__LinkedBranch_v.58.smt2 -> UNKNOWN
[577/3763] Processing: splinterdb/betree__LinkedBetree_v.15.smt2 -> UNSAT
[578/3763] Processing: splinterdb/betree__FilteredBetreeRefinement_v.15.smt2 -> UNSAT
[579/3763] Processing: splinterdb/journal__LinkedJournal_v.11.smt2 -> UNSAT
[580/3763] Processing: splinterdb/journal__PagedJournal_v.1.smt2 -> UNKNOWN
[581/3763] Processing: splinterdb/betree__LinkedBranch_v__Refinement_v.12.smt2 -> OTHER
[582/3763] Processing: splinterdb/disk__GenericDisk_v.6.smt2 -> UNSAT
[583/3763] Processing: splinterdb/betree__PivotTable_v.5.smt2 -> UNSAT
[584/3763] Processing: splinterdb/betree__FilteredBetree_v.19.smt2 -> UNKNOWN
[585/3763] Processing: splinterdb/betree__LinkedBetree_v.42.smt2 -> UNSAT
[586/3763] Processing: splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.3.smt2 -> UNKNOWN
[587/3763] Processing: splinterdb/allocation_layer__AllocationJournal_v.2.smt2 -> UNSAT
[588/3763] Processing: splinterdb/allocation_layer__AllocationCrashAwareJournalRefinement_v.4.smt2 -> UNKNOWN
[589/3763] Processing: splinterdb/betree__BufferOffsets_v.1.smt2 -> UNSAT
[590/3763] Processing: splinterdb/betree__PivotBranch_v.12.smt2 -> UNKNOWN
[591/3763] Processing: splinterdb/abstract_system__AbstractCrashAwareJournal_v.smt2 -> UNSAT
[592/3763] Processing: splinterdb/betree__LinkedBranch_v.19.smt2 -> UNSAT
[593/3763] Processing: splinterdb/betree__LinkedBetree_v.54.smt2 -> UNKNOWN
[594/3763] Processing: splinterdb/journal__LinkedJournal_v.50.smt2 -> UNKNOWN
[595/3763] Processing: splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.19.smt2 -> UNSAT
[596/3763] Processing: splinterdb/betree__PivotBranchRefinement_v.10.smt2 -> UNKNOWN
[597/3763] Processing: splinterdb/marshalling__IntegerMarshalling_v.24.smt2 -> UNSAT
[598/3763] Processing: splinterdb/betree__LinkedBetree_v.111.smt2 -> OTHER
[599/3763] Processing: splinterdb/betree__Memtable_v.6.smt2 -> UNSAT
[600/3763] Processing: splinterdb/journal__PagedJournalRefinement_v.8.smt2 -> OTHER
[601/3763] Processing: splinterdb/betree__PagedBetree_v.35.smt2 -> UNSAT
[602/3763] Processing: splinterdb/allocation_layer__AllocationJournalRefinement_v.8.smt2 -> OTHER
[603/3763] Processing: splinterdb/exec__Cache_v__Cache.6.smt2 -> UNKNOWN
[604/3763] Processing: splinterdb/abstract_system__MsgHistory_v.3.smt2 -> UNSAT
[605/3763] Processing: splinterdb/betree__LinkedSeq_v.4.smt2 -> UNSAT
[606/3763] Processing: splinterdb/allocation_layer__LikesJournal_v.3.smt2 -> UNSAT
[607/3763] Processing: splinterdb/betree__PivotBranch_v.32.smt2 -> UNSAT
